order_id,symbol,side_label,side_code,order_event_ts_utc8,order_event_ts_utc,order_stage,order_model,size,entry_price,linked_decision_log_id,linked_decision_stage,linked_decision_ts_utc8,linked_decision_ts_utc,linked_action,linked_reason,linked_selected_over_corrected,match_type
717099432868315891,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T16:03:47.939+08:00,2026-02-13T08:03:47.939Z,Exit Execution,SDM:Straddle,400.0,0.2606,aa6c411d-dd4f-47c6-aa66-8e34fee6fd23,Exit Decision,2026-02-13T16:03:44.373+08:00,2026-02-13T08:03:44.373Z,close_runner,,,nearest_exit_decision_symbol
717106138176291571,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T16:30:26.610+08:00,2026-02-13T08:30:26.610Z,Exit Execution,SDM:Straddle,400.0,0.2606,d79cff22-40c3-48bc-bb85-518a7a764c2d,Exit Decision,2026-02-13T16:30:23.008+08:00,2026-02-13T08:30:23.008Z,close_runner,,,nearest_exit_decision_symbol
717112840879604467,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T16:57:04.658+08:00,2026-02-13T08:57:04.658Z,Exit Execution,SDM:Straddle,400.0,0.2606,ab39ef6f-2214-4438-9a01-b8a3a3496c54,Exit Decision,2026-02-13T16:57:01.083+08:00,2026-02-13T08:57:01.083Z,close_runner,,,nearest_exit_decision_symbol
717119559093453555,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T17:23:46.404+08:00,2026-02-13T09:23:46.404Z,Exit Execution,SDM:Straddle,400.0,0.2606,95e2003c-c437-46d4-9e28-bcf90befe320,Exit Decision,2026-02-13T17:23:42.784+08:00,2026-02-13T09:23:42.784Z,close_runner,,,nearest_exit_decision_symbol
717126273020723955,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T17:50:27.129+08:00,2026-02-13T09:50:27.129Z,Exit Execution,SDM:Straddle,400.0,0.2606,b9b89d81-5757-464d-a8fe-774a227264b1,Exit Decision,2026-02-13T17:50:23.554+08:00,2026-02-13T09:50:23.554Z,close_runner,,,nearest_exit_decision_symbol
717132988801876723,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T18:17:08.297+08:00,2026-02-13T10:17:08.297Z,Exit Execution,SDM:Straddle,400.0,0.2606,1a1d8ab0-2fcd-4035-92a5-76ff1a9c7311,Exit Decision,2026-02-13T18:17:04.472+08:00,2026-02-13T10:17:04.472Z,close_runner,,,nearest_exit_decision_symbol
717139714359952115,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T18:43:51.796+08:00,2026-02-13T10:43:51.796Z,Exit Execution,SDM:Straddle,400.0,0.2606,61850e54-993a-4361-a468-1426883b7c0c,Exit Decision,2026-02-13T18:43:48.203+08:00,2026-02-13T10:43:48.203Z,close_runner,,,nearest_exit_decision_symbol
717142724171530995,cmt_adausdt,SHORT_SIDE,SHORT,2026-02-13T18:55:49.391+08:00,2026-02-13T10:55:49.391Z,Exit Execution,SDM:Straddle,400.0,0.2606,f2ab0c8a-3ddb-4a3f-a3bc-f72f75926a87,Exit Decision,2026-02-13T18:55:45.729+08:00,2026-02-13T10:55:45.729Z,close_runner,,,nearest_exit_decision_symbol
717144248050254579,cmt_solusdt,LONG_SIDE,LONG,2026-02-13T19:01:52.710+08:00,2026-02-13T11:01:52.710Z,Exit Execution,SDM:Straddle,23.6,80.52,255149d8-af33-4924-9e59-ed2d93a1f81a,Exit Decision,2026-02-13T19:01:52.032+08:00,2026-02-13T11:01:52.032Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
717144250902381299,cmt_solusdt,SHORT_SIDE,SHORT,2026-02-13T19:01:53.390+08:00,2026-02-13T11:01:53.390Z,Exit Execution,SDM:Straddle,23.6,80.52,255149d8-af33-4924-9e59-ed2d93a1f81a,Exit Decision,2026-02-13T19:01:52.032+08:00,2026-02-13T11:01:52.032Z,close_hedge_force_unblock,,,nearest_exit_decision_symbol
